text,value
"??? ?? ???? ???? ?? ???? ??? ?????  ??? ???? ?? ???? ???? ???? ???? ??? ?? ???? ??? ?? ???? ??????? ?????? ????? ?? ??? ??? ?????.",-1
* ??? ????? ?????? - Smart Evolution ?? ?? ???? ??????? ?? ???? ????? ???? ?? ??? 2013 ???? ????? ??.,0
IOS :*???? ??? ? ????? - ??????? ??? ??????? ????? ? ?? ????? ?????*????? ?? ??????? ?? ???? ??? ? ????? *?????? ?? ?????? ?? ???? ???? ???? ?? ???? ???? ???? ????  ???? ?? ???? ?? ????? ???? IOS ??? ?? ????? ????? ? ?? ?? Iphone ????.,-1
?? ?? ???? ??? ???? ???? ??? hd ?? ???? ???????? ????? ???? ?????.,+1
"????
???????? ??? ?????? ??? ????? ???? ?? led ???? ? ???? ??? ????????? ?? ????? ???? ????? ?? ??? ???? ? ???? ?????? ?? ???? ??? ??? ????? ???? ???? ?? ???? ????? ?? ????? ????? ?????? ????? ??? ????? ????? ??????? ?? ???? ????? ? led ????? ?? ??? ?????? ?????? ???? ???? ????? ???? ????? ? ????? ?? ?..",-1
"???? ?? ????? ?????? ??? ???? ?? ????
",+1
"?????  ????? ??? ?? ???? ??? ?? ? ?????? ???? ?? ?? ???? 800 ?????? ?? ???? ???? ?? ??? ?? ?? ????? 6400 ?? ??? ??? ????.",-1
? ????? ??? ????? ????? ? ??? ????? ?? ????? ?????? ? ??? DVD ?????? ??????? ????.,+1
??? ???? ???? ?? ?????? ?? ????? ?? ???? ???? ??? ????? ?? ????? ?? ???? ??? ???? ???? ?????.,+1
)?? ????? ??????? ?????? ?? ???????? ?? ????? ???? ?? ??? ??? ???????? ????? ???.,-1
??? ???? ?? ??? ?? ? ?????? ??? ?????? ??? ???? ?? ??? ?? ?? ??? ????? ?? ?? ??? ??? ?? ?? ?????? ?? ????.,+1
??? ???? ????? ????? ? ??????? ?? 50 ??? ?? ????.,0
??? ?????? ???????? ?????? ???? ??? ???? ??? ? ??? ???.,+2
??????? ??? ?????? ?? ??????? ?? ??????? ?????? ????? ??????  ?? ????? ??????? ??  ???? ????? ???? ??????? ??????.,0
?? ??? ???? ???? ?????? ????.,0
????? ??? ????????? ????? ??? ???? ? ???? ????? ??????? ??? ?? ???? ????? ????? ????? ????????.,+2
"????? ???? ?? ??? ???? ?? ???? ?? ???? ????? ?? ??? ????? ?? ????? ??? ?? ?? ???? ?? ??? ???? ???
?? ?? ??? ?? 8 ????? ?? ???? ???? ??? ???? ??? ? ?? ????? ?? ????? ???? ?????? ",0
???? ?????? ??? ??????.,-1
"?? ???? ?? ????? ??????? ????? ?? ??? ?????? ???? ?? ??? ????? ???? ??????  ?? ?????? ???? ???? ???? ?????? ????? ?????.",0
?????? ?? ?? ??? ??? ??? ?????? ?? ????? ? ??? ?? ?? ??? ?? ?? ?? ??? ?????? .,-1
"????? ? ???? ?? ??? ????? ? ????? ?????  ??????? ??? ?? ????? ?? ???? ??? ???? ??? ???? ?????? ???.",+1
?? ??? ????? ???? ? ??????? ?????? ? ?? ?? ??? ???? ? ?? ??? ??? ?????? .,+2
?????? ????? ???? ???? ?? ?????? ???? ???? ? ?????? ? .,+2
??? ???? ??? ?????? ?? ???? ????? ? ???? ??????  ??? ?? ???? ??? ??? ?? ??????? ??????? ??????? ?? ?????? ?? ??? ??????? ? ????? ????? ?? ???? ???? ??? ??? ??  ????? ????? ??? ???? ???? ?? ???? ???? ?? ??? ?? ??? ?? ??? ? ???????? ?? ?????? ??? ???? ??? ??? ????? ?? ????? ??????? ?? ???? ????? ???? ? ?? ??? ???? ?? ???? ?????? ? ???? ???? ??? ??? ??? ??? ?? ???? ????? ????? ??? ????? ??? ?? ??????? ????? ????? ???? ??? ???? ?? ??? ??? ????? ?? ?? ??????? ?? ??? ????? ????!,+2
??? ?? ??? ?????? ??? ???? ???? ??? Full HD ???? ?????? ??????!,-1
???? ??? ???????? ? ????? ? ????? ??? ???? ?? ??? ?????? ???????.,0
"???????? ?????? ?? ???? ???? 3G ????  ??? ?? ???? WIFI ??? ???? ?????!",-1
"?? ???  ?? ??? ????? ? ????? ???? ??? ???? ??????? ??? ?? ????? ????? ? ????? ??? ??? ? ?? ?? ???? ????.",+2
..,0
??????? ?????? ??? ??? ?? ????? ??? ?? ?????? Memo ???????.,0
"?????:? ????? ?????? ???  ??? ?? ???? ?? ???? ????????? 5 ??? ???????  ???? ??? ??? ?? ?? ?? ??? ????? ????? ??? ??? ??? ? ????? ????? ????? ???.",-1
"????
?? ??? ???? ?? 4 ???? ?? ?????? ?? ?? ???? ???? ??? ?? ???? ?? ???? ?? ????? ?????? ???? ????? 4 ????? ?? ????? ?????????? ???? IPS LCD 480*800 ? ?? ?? ?? ?? ???? ?? ?? ???? ?????? ??????? 4.1 ? ?? ??? ????? ????? ??????? 1730 ???? ????? ??? ??? ??? ???? ???? ??? ???? ???????.",+2
???? ?? ???? ???? ????? ??????? ????? ?? ?? ????? ???? ?????? ????? ????? ?????? ??? ?? ??? ??????? ?? ????????? ????? ??????.,+2
?? ?? ?? ???? ??? ?????? ?? ?????.,+1
??? ?? ???  ???? ???? ????? ?? ???? ?? ?? ?????? ???? ? ???? ????? ????? ??? ??? !,-1
"???? ????? ??? ?? ???? ??? ?? X-Pro1 ?? ????? ???????? ????? ????? ? ???? ???? ?????? ??? DSLR ?????? ????? ?? ?????  ??? ?? ???? ? ??? ???? ?????? ???? ??? ??? ????? ?? ?????? ???? ???.",+2
?? ??????? ????? ??? ???? ??????? ???? ?? ????? ????? ????3.,0
"?? ????? ??? ???? ?????
",+2
?????? ??? ????? ?? ???? ??? ??? ?? ??? ??????????? ???? ?????????.,0
"?? ????
?? ??? ?? ??????? ????? ? ?? ?? ???? ??? ???? ????? ????? ??? 7.7 ????? ?? ??? ????? ???? ?? ??? ???? ????? ??????? ???? ?? ??? ?????",-1
???? ???? .,-1
????? ?? ????? ????? ????? 5 ?? ?? ???? ? ??? ???? ????? ??? ??????? ????? ???? ?????.,0
?? ????? ??????? ??? ??? ?? ?? ???? ????:1-??? ???? ????? ??? ?? ??? CD ? DVD ????? ????? !,-1
?? ???? ?? ????? ???? ????? ???? ? ?????? ??????? ?????? ???? ?? ????? ??? ???.,+1
?? ??? ?? ??? ??? ???? ?????.,+2
????? ??? ???? 65?128 ???? ??? ??? ?? 9.2 ???? ??? ??? ????? ????.,0
????? ???? ? ??????,+2
""" ? ?????? ?? ?? ??? ?????? ??? ????????  ?? ????? ??? ????? ?? ????? ?????? ??.",+1
"??? ????? ?? ??? ??? ??? Retina MacBook Pro ?? ????? ???? OS X ???? Lion ??????? ?????? ??? ??? ?? ???????? ??? ???????  ????? ????? ?? Mountain Lion ?? ?? ???? ?????? ????? ???? ???.",+1
